date,platform,campaign_id,campaign_name,objective,ad_group_id,ad_group_name,impressions,clicks,spend,conversions,conversion_value,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,likes,shares,comments,reach,frequency,quality_score,search_impression_share,engagements,engagement_rate,ctr,cpc,cpm,cvr,cpa,roas,video_view_rate,video_completion_rate,source_file
2024-01-03,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,22345,1123,213.40,42,2100.00,,,,,,,,,,,9.0000,0.9300,,,0.0503,0.19,9.55,0.0374,5.08,9.8407,,,02_google_ads.csv
2024-01-03,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,47890,967,623.50,25,1250.00,,,,,,,,,,,6.0000,0.4300,,,0.0202,0.64,13.02,0.0259,24.94,2.0048,,,02_google_ads.csv
2024-01-03,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,123456,456,123.40,12,600.00,,,,,,,,,,,7.0000,0.3500,,,0.0037,0.27,1.00,0.0263,10.28,4.8622,,,02_google_ads.csv
2024-01-03,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,223456,3234,434.50,32,,189234,148234,93234,63456,43234,8567,2234,534,,,,,11335,0.0507,0.0145,0.13,1.94,0.0099,13.58,,0.8469,0.2285,03_tiktok_ads.csv
2024-01-03,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,112345,2123,623.40,62,,82345,61234,41234,31234,21234,4234,1123,212,,,,,5569,0.0496,0.0189,0.29,5.55,0.0292,10.05,,0.7330,0.2579,03_tiktok_ads.csv
2024-01-03,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,345678,5678,890.10,89,,289234,234567,189234,134567,89234,15678,4567,1234,,,,,21479,0.0621,0.0164,0.16,2.57,0.0157,10.00,,0.8367,0.3085,03_tiktok_ads.csv
2024-01-04,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,51234,1023,142.30,15,,9234,,,,,,,,42567,1.2000,,,,0.0200,0.0200,0.14,2.78,0.0147,9.49,,0.1802,,01_facebook_ads.csv
2024-01-04,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,14567,678,245.60,42,,1567,,,,,,,,11234,1.3000,,,,0.0465,0.0465,0.36,16.86,0.0619,5.85,,0.1076,,01_facebook_ads.csv
2024-01-04,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,67890,234,89.50,5,,45678,,,,,,,,56789,1.2000,,,,0.0034,0.0034,0.38,1.32,0.0214,17.90,,0.6728,,01_facebook_ads.csv
2024-01-04,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,25678,1345,256.70,50,2500.00,,,,,,,,,,,9.0000,0.9200,,,0.0524,0.19,10.00,0.0372,5.13,9.7390,,,02_google_ads.csv
2024-01-04,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,69456,2234,412.30,65,3250.00,,,,,,,,,,,8.0000,0.6600,,,0.0322,0.18,5.94,0.0291,6.34,7.8826,,,02_google_ads.csv
2024-01-04,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,134567,489,134.50,14,700.00,,,,,,,,,,,7.0000,0.3600,,,0.0036,0.28,1.00,0.0286,9.61,5.2045,,,02_google_ads.csv
2024-01-04,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,256789,3890,512.30,39,,217456,170234,107234,72456,48456,9567,2567,612,,,,,12746,0.0496,0.0151,0.13,2.00,0.0100,13.14,,0.8468,0.2228,03_tiktok_ads.csv
2024-01-04,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,201234,3123,374.50,26,,157890,121234,96234,61234,37456,7345,2034,489,,,,,9868,0.0490,0.0155,0.12,1.86,0.0083,14.40,,0.7846,0.2372,03_tiktok_ads.csv
2024-01-04,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,367890,6012,923.40,94,,301234,245678,196789,140234,93456,16234,4789,1289,,,,,22312,0.0606,0.0163,0.15,2.51,0.0156,9.82,,0.8188,0.3102,03_tiktok_ads.csv
2024-01-05,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,46789,934,131.20,13,,8567,,,,,,,,39234,1.1900,,,,0.0200,0.0200,0.14,2.80,0.0139,10.09,,0.1831,,01_facebook_ads.csv
2024-01-05,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,12890,567,220.30,36,,1345,,,,,,,,10123,1.2700,,,,0.0440,0.0440,0.39,17.09,0.0635,6.12,,0.1043,,01_facebook_ads.csv
2024-01-05,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,71234,256,94.80,6,,48901,,,,,,,,59234,1.2000,,,,0.0036,0.0036,0.37,1.33,0.0234,15.80,,0.6865,,01_facebook_ads.csv
2024-01-05,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,23890,1234,234.90,46,2300.00,,,,,,,,,,,9.0000,0.9100,,,0.0517,0.19,9.83,0.0373,5.11,9.7914,,,02_google_ads.csv
2024-01-05,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,46234,912,589.30,24,1200.00,,,,,,,,,,,7.0000,0.4500,,,0.0197,0.65,12.75,0.0263,24.55,2.0363,,,02_google_ads.csv
2024-01-05,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,128901,467,128.90,13,650.00,,,,,,,,,,,7.0000,0.3400,,,0.0036,0.28,1.00,0.0278,9.92,5.0427,,,02_google_ads.csv
2024-01-05,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,234234,3467,460.20,35,,199234,156789,98789,67789,45456,8945,2367,578,,,,,11890,0.0508,0.0148,0.13,1.96,0.0101,13.15,,0.8506,0.2282,03_tiktok_ads.csv
2024-01-05,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,128901,2456,689.50,68,,91234,68234,45789,34567,23678,4678,1267,237,,,,,6182,0.0480,0.0191,0.28,5.35,0.0277,10.14,,0.7078,0.2595,03_tiktok_ads.csv
2024-01-05,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,356789,5834,901.20,91,,293456,239234,191234,136234,90234,15890,4634,1256,,,,,21780,0.0610,0.0164,0.15,2.53,0.0156,9.90,,0.8225,0.3075,03_tiktok_ads.csv
2024-01-06,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,44567,878,125.60,11,,8123,,,,,,,,37456,1.1900,,,,0.0197,0.0197,0.14,2.82,0.0125,11.42,,0.1823,,01_facebook_ads.csv
2024-01-06,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,35678,1289,195.60,24,,4678,,,,,,,,29345,1.2200,,,,0.0361,0.0361,0.15,5.48,0.0186,8.15,,0.1311,,01_facebook_ads.csv
2024-01-06,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,69456,245,91.20,5,,47234,,,,,,,,57890,1.2000,,,,0.0035,0.0035,0.37,1.31,0.0204,18.24,,0.6801,,01_facebook_ads.csv
2024-01-06,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,24234,1267,241.20,47,2350.00,,,,,,,,,,,9.0000,0.9200,,,0.0523,0.19,9.95,0.0371,5.13,9.7430,,,02_google_ads.csv
2024-01-06,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,72345,2378,432.90,69,3450.00,,,,,,,,,,,8.0000,0.6700,,,0.0329,0.18,5.98,0.0290,6.27,7.9695,,,02_google_ads.csv
2024-01-06,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,131234,478,132.40,13,650.00,,,,,,,,,,,7.0000,0.3500,,,0.0036,0.28,1.01,0.0272,10.18,4.9094,,,02_google_ads.csv
2024-01-06,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,267890,3945,523.40,40,,221234,173456,109234,73567,49234,9789,2634,623,,,,,13046,0.0487,0.0147,0.13,1.95,0.0101,13.08,,0.8258,0.2225,03_tiktok_ads.csv
2024-01-06,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,205678,3234,387.80,27,,162345,124567,98901,63234,38234,7567,2089,501,,,,,10157,0.0494,0.0157,0.12,1.89,0.0083,14.36,,0.7893,0.2355,03_tiktok_ads.csv
2024-01-06,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,378901,6123,945.60,96,,312345,251234,201234,143456,95234,16567,4823,1312,,,,,22702,0.0599,0.0162,0.15,2.50,0.0157,9.85,,0.8243,0.3049,03_tiktok_ads.csv
2024-01-07,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,49876,1067,145.90,16,,9567,,,,,,,,41234,1.2100,,,,0.0214,0.0214,0.14,2.93,0.0150,9.12,,0.1918,,01_facebook_ads.csv
2024-01-07,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,13456,623,237.80,40,,1456,,,,,,,,10567,1.2700,,,,0.0463,0.0463,0.38,17.67,0.0642,5.95,,0.1082,,01_facebook_ads.csv
2024-01-07,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,37234,1367,207.90,27,,5012,,,,,,,,30678,1.2100,,,,0.0367,0.0367,0.15,5.58,0.0198,7.70,,0.1346,,01_facebook_ads.csv
2024-01-07,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,26789,1456,278.90,54,2700.00,,,,,,,,,,,9.0000,0.9300,,,0.0544,0.19,10.41,0.0371,5.16,9.6809,,,02_google_ads.csv
2024-01-07,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,44567,878,567.20,22,1100.00,,,,,,,,,,,6.0000,0.4400,,,0.0197,0.65,12.73,0.0251,25.78,1.9394,,,02_google_ads.csv
2024-01-07,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,70234,2289,419.50,66,3300.00,,,,,,,,,,,8.0000,0.6600,,,0.0326,0.18,5.97,0.0288,6.36,7.8665,,,02_google_ads.csv
2024-01-07,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,278901,4123,545.60,42,,229234,179234,112234,75678,50234,10123,2712,645,,,,,13480,0.0483,0.0148,0.13,1.96,0.0102,12.99,,0.8219,0.2191,03_tiktok_ads.csv
2024-01-07,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,138901,2678,734.50,73,,97890,72345,48901,36789,24890,4901,1356,256,,,,,6513,0.0469,0.0193,0.27,5.29,0.0273,10.06,,0.7047,0.2543,03_tiktok_ads.csv
2024-01-07,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,212345,3345,401.10,28,,167890,128234,101234,65234,39456,7789,2145,512,,,,,10446,0.0492,0.0158,0.12,1.89,0.0084,14.33,,0.7906,0.2350,03_tiktok_ads.csv
2024-01-08,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,47234,945,135.40,14,,8789,,,,,,,,39567,1.1900,,,,0.0200,0.0200,0.14,2.87,0.0148,9.67,,0.1861,,01_facebook_ads.csv
2024-01-08,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,12123,534,212.40,35,,1234,,,,,,,,9567,1.2700,,,,0.0441,0.0440,0.40,17.52,0.0655,6.07,,0.1018,,01_facebook_ads.csv
2024-01-08,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,73456,267,98.30,7,,50123,,,,,,,,60234,1.2200,,,,0.0036,0.0036,0.37,1.34,0.0262,14.04,,0.6824,,01_facebook_ads.csv
2024-01-08,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,22567,1134,216.80,43,2150.00,,,,,,,,,,,9.0000,0.9100,,,0.0503,0.19,9.61,0.0379,5.04,9.9170,,,02_google_ads.csv
2024-01-08,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,48234,989,634.70,26,1300.00,,,,,,,,,,,7.0000,0.4600,,,0.0205,0.64,13.16,0.0263,24.41,2.0482,,,02_google_ads.csv
2024-01-08,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,125678,445,121.30,11,550.00,,,,,,,,,,,7.0000,0.3400,,,0.0035,0.27,0.97,0.0247,11.03,4.5342,,,02_google_ads.csv
2024-01-08,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,245234,3578,474.30,37,,203456,158901,99567,68234,45789,8978,2389,590,,,,,11957,0.0488,0.0146,0.13,1.93,0.0103,12.82,,0.8296,0.2251,03_tiktok_ads.csv
2024-01-08,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,119234,2234,645.60,64,,85678,63456,42345,32234,22234,4345,1189,223,,,,,5757,0.0483,0.0187,0.29,5.41,0.0286,10.09,,0.7186,0.2595,03_tiktok_ads.csv
2024-01-08,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,389012,6234,967.80,98,,321234,258901,207890,147234,97456,16901,4912,1345,,,,,23158,0.0595,0.0160,0.16,2.49,0.0157,9.88,,0.8258,0.3034,03_tiktok_ads.csv
2024-01-09,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,50123,1012,141.70,15,,9345,,,,,,,,41890,1.2000,,,,0.0202,0.0202,0.14,2.83,0.0148,9.45,,0.1864,,01_facebook_ads.csv
2024-01-09,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,36456,1312,199.80,26,,4823,,,,,,,,30234,1.2100,,,,0.0360,0.0360,0.15,5.48,0.0198,7.68,,0.1323,,01_facebook_ads.csv
2024-01-09,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,70123,253,93.60,6,,48234,,,,,,,,58456,1.2000,,,,0.0036,0.0036,0.37,1.33,0.0237,15.60,,0.6878,,01_facebook_ads.csv
2024-01-09,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,25234,1312,250.30,49,2450.00,,,,,,,,,,,9.0000,0.9200,,,0.0520,0.19,9.92,0.0373,5.11,9.7883,,,02_google_ads.csv
2024-01-09,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,73456,2423,441.80,70,3500.00,,,,,,,,,,,8.0000,0.6800,,,0.0330,0.18,6.01,0.0289,6.31,7.9221,,,02_google_ads.csv
2024-01-09,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,129345,456,125.60,12,600.00,,,,,,,,,,,7.0000,0.3500,,,0.0035,0.28,0.97,0.0263,10.47,4.7771,,,02_google_ads.csv
2024-01-09,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,289012,4234,556.70,43,,234567,182345,114567,77234,51234,10345,2789,656,,,,,13790,0.0477,0.0146,0.13,1.93,0.0102,12.95,,0.8116,0.2184,03_tiktok_ads.csv
2024-01-09,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,218901,3456,414.40,29,,173456,131567,103567,67234,40567,8012,2201,523,,,,,10736,0.0490,0.0158,0.12,1.89,0.0084,14.29,,0.7924,0.2339,03_tiktok_ads.csv
2024-01-09,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,401234,6456,989.90,101,,332345,267890,214567,151234,99567,17234,5012,1378,,,,,23624,0.0589,0.0161,0.15,2.47,0.0156,9.80,,0.8283,0.2996,03_tiktok_ads.csv
2024-01-10,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,48567,978,137.80,14,,8945,,,,,,,,40456,1.2000,,,,0.0201,0.0201,0.14,2.84,0.0143,9.84,,0.1842,,01_facebook_ads.csv
2024-01-10,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,13789,645,241.20,41,,1489,,,,,,,,10789,1.2800,,,,0.0468,0.0468,0.37,17.49,0.0636,5.88,,0.1080,,01_facebook_ads.csv
2024-01-10,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,38456,1423,217.50,29,,5123,,,,,,,,31234,1.2300,,,,0.0370,0.0370,0.15,5.66,0.0204,7.50,,0.1332,,01_facebook_ads.csv
2024-01-10,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,24678,1289,245.90,48,2400.00,,,,,,,,,,,9.0000,0.9100,,,0.0522,0.19,9.96,0.0372,5.12,9.7601,,,02_google_ads.csv
2024-01-10,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,45234,901,578.90,23,1150.00,,,,,,,,,,,7.0000,0.4500,,,0.0199,0.64,12.80,0.0255,25.17,1.9865,,,02_google_ads.csv
2024-01-10,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,68901,2267,414.20,64,3200.00,,,,,,,,,,,8.0000,0.6700,,,0.0329,0.18,6.01,0.0282,6.47,7.7257,,,02_google_ads.csv
2024-01-10,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,256234,3701,490.50,38,,209234,163567,102567,69567,46567,9123,2423,601,,,,,12147,0.0474,0.0144,0.13,1.91,0.0103,12.91,,0.8166,0.2226,03_tiktok_ads.csv
2024-01-10,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,145678,2789,756.70,76,,101234,74567,50234,37890,25234,5012,1423,267,,,,,6702,0.0460,0.0191,0.27,5.19,0.0272,9.96,,0.6949,0.2493,03_tiktok_ads.csv
2024-01-10,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,223456,3567,427.70,30,,178901,135234,106789,69234,41789,8234,2267,534,,,,,11035,0.0494,0.0160,0.12,1.91,0.0084,14.26,,0.8006,0.2336,03_tiktok_ads.csv
2024-01-11,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,52123,1089,148.60,17,,9567,,,,,,,,43234,1.2100,,,,0.0209,0.0209,0.14,2.85,0.0156,8.74,,0.1835,,01_facebook_ads.csv
2024-01-11,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,14567,723,256.40,44,,1612,,,,,,,,11456,1.2700,,,,0.0496,0.0496,0.35,17.60,0.0609,5.83,,0.1107,,01_facebook_ads.csv
2024-01-11,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,39789,1534,225.80,31,,5456,,,,,,,,32567,1.2200,,,,0.0386,0.0386,0.15,5.67,0.0202,7.28,,0.1371,,01_facebook_ads.csv
2024-01-11,Facebook,fb_1004,Video_Views_Campaign,Awareness,fbset_2004,Video_Enthusiasts,76234,278,101.50,8,,52345,,,,,,,,62456,1.2200,,,,0.0037,0.0036,0.37,1.33,0.0288,12.69,,0.6866,,01_facebook_ads.csv
2024-01-11,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,26234,1378,263.40,52,2600.00,,,,,,,,,,,9.0000,0.9200,,,0.0525,0.19,10.04,0.0377,5.07,9.8709,,,02_google_ads.csv
2024-01-11,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,47890,934,612.50,26,1300.00,,,,,,,,,,,7.0000,0.4600,,,0.0195,0.66,12.79,0.0278,23.56,2.1224,,,02_google_ads.csv
2024-01-11,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,71234,2456,445.80,71,3550.00,,,,,,,,,,,8.0000,0.6800,,,0.0345,0.18,6.26,0.0289,6.28,7.9632,,,02_google_ads.csv
2024-01-11,Google,g_5004,Display_Remarketing,Retargeting,gad_6004,Cart_Abandoners,136789,512,142.30,15,750.00,,,,,,,,,,,7.0000,0.3600,,,0.0037,0.28,1.04,0.0293,9.49,5.2706,,,02_google_ads.csv
2024-01-11,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,278901,4123,523.60,42,,234567,182345,114567,77234,51234,10345,2789,656,,,,,13790,0.0494,0.0148,0.13,1.88,0.0102,12.47,,0.8410,0.2184,03_tiktok_ads.csv
2024-01-11,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,156789,3012,812.30,82,,109876,81234,54678,41234,27567,5456,1567,289,,,,,7312,0.0466,0.0192,0.27,5.18,0.0272,9.91,,0.7008,0.2509,03_tiktok_ads.csv
2024-01-11,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,234567,3789,456.80,33,,189234,143567,113456,73456,44567,8789,2434,567,,,,,11790,0.0503,0.0162,0.12,1.95,0.0087,13.84,,0.8067,0.2355,03_tiktok_ads.csv
2024-01-11,TikTok,tt_8004,Influencer_Collab,Influencer,ttad_9004,Creator_Partnership,412345,6789,1023.40,103,,345678,278901,223456,159234,105678,18234,5234,1456,,,,,24924,0.0604,0.0165,0.15,2.48,0.0152,9.94,,0.8383,0.3057,03_tiktok_ads.csv
2024-01-12,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,49234,1012,140.30,15,,9123,,,,,,,,41567,1.1800,,,,0.0206,0.0206,0.14,2.85,0.0148,9.35,,0.1853,,01_facebook_ads.csv
